Hit,"Position (x, y) in cm",Timestamp (s)
1,"(102.68, 108.37)","(3.557142857142857, 5)"
1,"(78.19, 4.25)","(5.2, 5)"
1,"(105.26, 108.14)","(5.614285714285714, 5)"
1,"(78.38, 4.4)","(7.057142857142857, 5)"
1,"(78.29, 4.48)","(8.985714285714286, 5)"
1,"(98.58, 108.32)","(10.785714285714285, 5)"
1,"(77.97, 4.47)","(11.942857142857145, 5)"
1,"(77.31, 4.26)","(12.742857142857142, 5)"
1,"(108.85, 4.13)","(12.857142857142856, 5)"
1,"(78.44, 4.41)","(13.585714285714284, 5)"
1,"(102.04, 103.06)","(13.985714285714286, 5)"
1,"(103.71, 108.25)","(15.9, 5)"
1,"(78.01, 4.45)","(17.07142857142857, 5)"
1,"(94.78, 104.66)","(17.2, 5)"
1,"(81.46, 4.85)","(18.185714285714287, 5)"
1,"(99.89, 109.44)","(18.428571428571427, 5)"
1,"(80.33, 4.54)","(20.57142857142857, 5)"
1,"(77.66, 4.32)","(22.057142857142857, 5)"
1,"(78.4, 4.55)","(23.428571428571427, 5)"
1,"(77.68, 4.16)","(23.54285714285714, 5)"
1,"(101.84, 109.41)","(23.97142857142857, 5)"
1,"(108.21, 4.55)","(24.285714285714285, 5)"
1,"(79.11, 4.13)","(26.414285714285715, 5)"
1,"(78.58, 4.15)","(26.47142857142857, 5)"
1,"(102.47, 105.94)","(26.7, 5)"
1,"(109.55, 4.51)","(27.0, 5)"
1,"(102.09, 109.02)","(28.514285714285712, 5)"
1,"(78.05, 4.24)","(30.4, 5)"
1,"(78.25, 4.52)","(30.52857142857143, 5)"
1,"(93.2, 110.46)","(32.1, 5)"
1,"(99.56, 107.81)","(33.34285714285714, 5)"
1,"(78.46, 4.44)","(34.457142857142856, 5)"
1,"(109.07, 4.11)","(34.857142857142854, 5)"
1,"(81.21, 4.71)","(35.58571428571428, 5)"
1,"(79.65, 4.91)","(37.72857142857143, 5)"
1,"(104.57, 104.05)","(38.12857142857143, 5)"
1,"(90.76, 61.29)","(38.4, 5)"
1,"(78.87, 4.77)","(38.48571428571429, 5)"
